Date,Close,High,Low,Open,Tomorrow_Open,Gap,target,daily_return,MA20,Volality20,Prev_Close,Prev_High,Prev_Low,Prev_Open,Prev_gap,Daily_range,Candle_body,MA5,MA10,MA15,Volality5,Volality10,Volality15,Prev_return,return5,return7,Day,Month,Quater,year
2010-02-02,4830.10009765625,4951.14990234375,4814.10009765625,4907.85009765625,4831.0,0.89990234375,1,-1.4204970688377228,5123.292504882813,1.0121401887237673,4899.7001953125,4918.7998046875,4827.14990234375,4882.0498046875,8.14990234375,137.0498046875,-77.75,4866.4400390625,4991.760009765625,5076.593359375,1.5292281458165056,1.1907146185772317,1.1034988259210456,0.36153647199692607,-0.5579844649771681,-2.4426965968527115,1,2,1,2010
2010-02-03,4931.85009765625,4949.14990234375,4831.0,4831.0,4931.2998046875,-0.55029296875,0,2.106581601680957,5105.990014648438,1.1247189123510102,4830.10009765625,4951.14990234375,4814.10009765625,4907.85009765625,0.89990234375,118.14990234375,100.85009765625,4882.1900390625,4962.380029296875,5058.023372395834,1.2473589443992255,1.5164129500781096,1.2959720002236028,-1.4204970688377228,-3.0911121968522637,-1.1415035571881393,2,2,1,2010
2010-02-04,4845.35009765625,4931.2998046875,4832.35009765625,4931.2998046875,4819.64990234375,-25.7001953125,0,-1.7539057004410386,5084.167529296875,1.16355347538787,4931.85009765625,4949.14990234375,4831.0,4831.0,-0.55029296875,98.94970703125,-85.94970703125,4877.81005859375,4924.74501953125,5032.11669921875,1.5590457302984357,1.5485699613853412,1.3224151647959186,2.106581601680957,0.29156419729696736,-0.5579844649771681,3,2,1,2010
2010-02-05,4718.64990234375,4827.0,4692.35009765625,4819.64990234375,4755.35009765625,36.7001953125,1,-2.6148821603992345,5056.94501953125,1.2620690171838045,4845.35009765625,4931.2998046875,4832.35009765625,4931.2998046875,-25.7001953125,134.64990234375,-101.0,4845.130078125,4887.19501953125,4996.033365885417,1.8903683932924462,1.570477394440381,1.3961497150787172,-1.7539057004410386,0.30406912912834816,-3.0911121968522637,4,2,1,2010
2010-02-08,4760.39990234375,4799.0498046875,4675.39990234375,4755.35009765625,4760.5498046875,0.14990234375,1,0.8847869806840825,5032.727514648437,1.3012780337592749,4718.64990234375,4827.0,4692.35009765625,4819.64990234375,36.7001953125,123.64990234375,5.0498046875,4817.27001953125,4859.635009765625,4963.2466796875,1.9739853539101329,1.643600372251689,1.4503327473142995,-2.6148821603992345,0.36153647199692607,0.29156419729696736,0,2,1,2010
2010-02-09,4792.64990234375,4810.39990234375,4739.35009765625,4760.5498046875,4793.0,0.35009765625,1,0.6774640925465425,5009.8900146484375,1.3212141471013408,4760.39990234375,4799.0498046875,4675.39990234375,4755.35009765625,0.14990234375,71.0498046875,32.10009765625,4809.77998046875,4838.110009765625,4931.1,1.9682033754652184,1.6886635428264776,1.4646864895313076,0.8847869806840825,-1.4204970688377228,0.30406912912834816,1,2,1,2010
2010-02-10,4757.2001953125,4826.85009765625,4748.10009765625,4793.0,4757.25,0.0498046875,1,-0.7396681951234108,4987.230029296875,1.3211755916826646,4792.64990234375,4810.39990234375,4739.35009765625,4760.5498046875,0.35009765625,78.75,-35.7998046875,4774.85,4828.52001953125,4899.87001953125,1.5155522590508612,1.4183033973147983,1.4626547742416214,0.6774640925465425,2.106581601680957,0.36153647199692607,2,2,1,2010
2010-02-11,4826.85009765625,4843.7998046875,4757.25,4757.25,4827.89990234375,1.0498046875,1,1.4640944144494794,4966.875024414063,1.3756269235880771,4757.2001953125,4826.85009765625,4748.10009765625,4793.0,0.0498046875,86.5498046875,69.60009765625,4771.15,4824.480029296875,4873.5466796875,1.6392492273062322,1.5081848631124846,1.5543015150365906,-0.7396681951234108,-1.7539057004410386,-1.4204970688377228,3,2,1,2010
2010-02-15,4801.9501953125,4845.60009765625,4783.89990234375,4827.89990234375,4801.7998046875,-0.150390625,0,-0.5158623499793458,4943.9775390625,1.3596550689043991,4826.85009765625,4843.7998046875,4757.25,4757.25,1.0498046875,61.7001953125,-25.94970703125,4787.81005859375,4816.470068359375,4854.06669921875,0.9449132160061614,1.507692956373084,1.4600597275901148,1.4640944144494794,-2.6148821603992345,2.106581601680957,0,2,1,2010
2010-02-16,4855.75,4880.0,4791.35009765625,4801.7998046875,4858.64990234375,2.89990234375,1,1.1203740667701467,4924.155029296875,1.4031359658940454,4801.9501953125,4845.60009765625,4783.89990234375,4827.89990234375,-0.150390625,88.64990234375,53.9501953125,4806.880078125,4812.075048828125,4842.050032552083,0.9830896809906969,1.554937708615251,1.4925690007142827,-0.5158623499793458,0.8847869806840825,-1.7539057004410386,1,2,1,2010
